headline,category
"국회, 내년도 예산안 본회의 처리 두고 여야 대치",정치
"대통령, 다음 주 정상회담 위해 순방 일정 확정",정치
"여당·야당, 선거제 개편 협상 테이블에 다시 마주 앉아",정치
장관 후보자 인사청문회에서 자질 공방 이어져,정치
지방선거 앞두고 각 당 공천 경쟁 본격 점화,정치
"코스피, 반도체주 강세에 사흘 연속 상승 마감",경제
"한국은행, 기준금리 동결 결정에 시장 반응 엇갈려",경제
원달러 환율 급등에 수입 물가 부담 커져,경제
"소비자물가 상승률 둔화, 장바구니 부담은 여전",경제
대기업 3분기 실적 개선에 투자 심리 회복 기대,경제
손흥민 결승골로 팀이 원정 경기서 짜릿한 역전승,스포츠
"프로야구 한국시리즈, 안방에서 우승 확정 짓나",스포츠
"김연아 이후 최고 유망주, 국제대회 첫 금메달 획득",스포츠
월드컵 예선 앞두고 대표팀 소집 명단 발표,스포츠
"마라톤 국가대표, 개인 최고 기록으로 결승선 통과",스포츠
"새 스마트폰 공개, 인공지능 카메라 기능 대폭 강화",IT
"국내 기업, 자체 개발 대규모 언어모델 공개",IT
클라우드 데이터센터 확충에 조 단위 투자 발표,IT
전기차 배터리 신기술로 충전 시간 절반으로 단축,IT
오픈소스 개발자 대회에 사상 최다 인원 참가,IT
