review,category
배터리가 하루 종일 가고 화면도 선명해서 만족해요,전자제품
발열이 좀 있지만 게임 성능은 훌륭합니다,전자제품
무선 이어폰 노이즈 캔슬링이 기대 이상이에요,전자제품
충전 속도가 빠르고 디자인도 깔끔해서 좋아요,전자제품
화질은 좋은데 스피커 음질이 조금 아쉬워요,전자제품
자판 반응이 빠르고 휴대하기 가벼워 출장에 좋아요,전자제품
수분크림이 촉촉하고 향이 은은해서 매일 써요,화장품
립스틱 발색이 예쁘고 오래 지속돼서 재구매했어요,화장품
선크림이 백탁 없이 발리고 끈적임이 적어요,화장품
클렌징폼이 순하게 세정되고 당김이 없어요,화장품
파운데이션이 커버력은 좋은데 조금 건조한 편이에요,화장품
아이섀도 팔레트 색 조합이 다양해서 활용도가 높아요,화장품
사과가 아삭하고 달아서 아이들이 잘 먹어요,식품
원두 향이 진하고 신선해서 아침마다 내려 마셔요,식품
라면 국물이 얼큰하고 면발이 쫄깃해서 좋아요,식품
과자가 바삭하고 단맛이 적당해서 계속 손이 가요,식품
우유가 고소하고 신선해서 온 가족이 즐겨 마셔요,식품
김치가 적당히 익어 새콤하고 아삭한 식감이 살아 있어요,식품
