review,genre
긴장감 넘치는 총격전과 카체이싱이 끝까지 몰아쳐요,액션
주인공이 악당 소굴에 잠입해 격투를 벌이는 장면이 압권이에요,액션
폭발과 추격이 쉴 틈 없이 이어져 손에 땀을 쥐었어요,액션
히어로가 도시를 지키려 거대한 적과 맞서 싸워요,액션
숨 막히는 액션 시퀀스와 스턴트가 정말 화려했어요,액션
두 사람이 첫눈에 반해 서서히 사랑에 빠지는 이야기예요,로맨스
이별과 재회를 반복하는 연인의 애틋한 감정선이 좋았어요,로맨스
비 오는 날 우산을 나눠 쓰는 장면이 설레었어요,로맨스
오랜 친구가 연인으로 발전하는 과정이 달콤했어요,로맨스
결혼을 앞둔 두 사람의 따뜻한 사랑 이야기에 눈물이 났어요,로맨스
배꼽 빠지게 웃긴 대사와 슬랩스틱이 가득해요,코미디
엉뚱한 주인공들이 벌이는 소동이 유쾌했어요,코미디
가족이 함께 보기 좋은 밝고 명랑한 분위기였어요,코미디
어이없는 상황이 계속 이어져 내내 낄낄거렸어요,코미디
코믹한 오해가 쌓이다 결국 웃음으로 풀리는 이야기예요,코미디
