text,topic
주문한 상품이 아직 도착하지 않았는데 언제쯤 받을 수 있나요,배송
배송 조회를 하니 사흘째 같은 상태로 멈춰 있어요,배송
택배 기사님과 연락이 안 되는데 어떻게 해야 하나요,배송
주소를 잘못 입력했는데 배송지 변경이 가능한가요,배송
문 앞에 두고 갔다는데 물건이 보이지 않아요,배송
단순 변심으로 반품하려는데 환불은 며칠 걸리나요,환불
결제한 금액이 이중으로 청구된 것 같아 환불 요청해요,환불
쿠폰으로 결제한 주문도 전액 환불이 되나요,환불
취소 요청을 했는데 아직 환불 처리가 안 됐어요,환불
부분 취소하면 남은 금액은 어떻게 돌려받나요,환불
받은 제품에 흠집이 있어서 교환하고 싶어요,품질
설명과 다르게 색상이 완전히 달라서 실망했어요,품질
작동한 지 이틀 만에 전원이 켜지지 않아요,품질
포장이 찢어진 채로 배송돼 내용물이 손상됐어요,품질
사이즈가 표기와 달라서 몸에 맞지 않아요,품질
회원 등급별 할인 혜택이 어떻게 되는지 알고 싶어요,문의
적립금은 언제부터 사용할 수 있나요,문의
영수증을 다시 발급받으려면 어디로 문의하나요,문의
재입고 알림은 어떻게 신청하나요,문의
해외 배송도 가능한지 궁금합니다,문의
